Timestamp,pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm,stabilizer.pitch,stabilizer.roll
183276,0,0,0,0,-1.5856952667236328,0.013904380612075329
183286,0,0,0,0,-1.5967128276824951,0.14530347287654877
183296,0,0,0,0,-1.4829849004745483,0.11846919357776642
183306,0,0,0,0,-1.515419363975525,0.09073691070079803
183316,0,0,0,0,-1.4615905284881592,0.11471734941005707
183326,0,0,0,0,-1.511888861656189,0.18885289132595062
183336,0,0,0,0,-1.5398359298706055,0.1843571960926056
183346,0,0,0,0,-1.5405702590942383,0.22387324273586273
183356,0,0,0,0,-1.574529767036438,0.34263449907302856
183366,0,0,0,0,-1.5697426795959473,0.46397751569747925
183376,0,0,0,0,-1.5288362503051758,0.5072513222694397
183386,0,0,0,0,-1.4828001260757446,0.5594508051872253
183396,0,0,0,0,-1.4688581228256226,0.5739020705223083
183406,0,0,0,0,-1.4410377740859985,0.6016713380813599
183416,0,0,0,0,-1.4399850368499756,0.6066940426826477
183426,0,0,0,0,-1.4133431911468506,0.6320130825042725
183436,0,0,0,0,-1.4188640117645264,0.6443035006523132
183446,0,0,0,0,-1.418975830078125,0.6684056520462036
183456,0,0,0,0,-1.3981071710586548,0.6884133219718933
183466,0,0,0,0,-1.3623286485671997,0.6927500367164612
183476,0,0,0,0,-1.3469969034194946,0.6937780976295471
183486,0,0,0,0,-1.3168275356292725,0.7286317348480225
183496,0,0,0,0,-1.3071449995040894,0.75408935546875
183506,0,0,0,0,-1.3004307746887207,0.7723202109336853
183516,0,0,0,0,-1.3032588958740234,0.7645536661148071
183526,0,0,0,0,-1.2993526458740234,0.7546252608299255
183536,0,0,0,0,-1.2655613422393799,0.7705320119857788
183546,0,0,0,0,-1.218339443206787,0.8081291317939758
183556,0,0,0,0,-1.1915497779846191,0.8376595973968506
183566,0,0,0,0,-1.1952011585235596,0.8567672371864319
183576,0,0,0,0,-1.1982502937316895,0.8567103147506714
183586,0,0,0,0,-1.1944024562835693,0.8488530516624451
183596,0,0,0,0,-1.1945714950561523,0.8422211408615112
183606,0,0,0,0,-1.1916909217834473,0.8434635996818542
183616,0,0,0,0,-1.1812013387680054,0.8534891605377197
183626,0,0,0,0,-1.1646181344985962,0.8619953393936157
183636,0,0,0,0,-1.1646738052368164,0.8565241098403931
183646,0,0,0,0,-1.1546881198883057,0.8562345504760742
183656,0,0,0,0,-1.1501331329345703,0.8591488003730774
183666,0,0,0,0,-1.1490942239761353,0.8638725876808167
183676,0,0,0,0,-1.1624000072479248,0.8476773500442505
183686,0,0,0,0,-1.1593434810638428,0.8307779431343079
183696,0,0,0,0,-1.145347237586975,0.8282262682914734
183706,0,0,0,0,-1.1407978534698486,0.821471095085144
183716,0,0,0,0,-1.1436492204666138,0.8263181447982788
183726,0,0,0,0,-1.155666708946228,0.8276957869529724
183736,0,0,0,0,-1.1458370685577393,0.8182526230812073
183746,0,0,0,0,-1.0706416368484497,0.8231372833251953
183756,0,0,0,0,-1.0330535173416138,0.786625862121582
183766,0,0,0,0,-0.9300954937934875,0.6505109667778015
183776,0,0,0,0,-0.8853347897529602,0.6543712019920349
183786,0,0,0,0,-0.8514965772628784,0.6816502809524536
183796,0,0,0,0,-0.807008683681488,0.671637773513794
183806,0,0,0,0,-0.7439601421356201,0.6446076035499573
183816,0,0,0,0,-0.7049992680549622,0.6308159232139587
183826,0,0,0,0,-0.6676898002624512,0.6335981488227844
183836,0,0,0,0,-0.6400073170661926,0.6202428340911865
183846,0,0,0,0,-0.5919053554534912,0.6020310521125793
183856,0,0,0,0,-0.5801305174827576,0.6020122766494751
183866,0,0,0,0,-0.6162242293357849,0.6427603960037231
183876,0,0,0,0,-0.6636759042739868,0.6855429410934448
183886,0,0,0,0,-0.7613338232040405,0.7761831283569336
183896,0,0,0,0,-0.8081233501434326,0.8226929306983948
183906,0,0,0,0,-0.8489777445793152,0.8655943870544434
183916,0,0,0,0,-0.8656732439994812,0.8954522013664246
183926,0,0,0,0,-0.8745657205581665,0.9048556089401245
183936,0,0,0,0,-0.8589764833450317,0.9110679030418396
183946,0,0,0,0,-0.8577186465263367,0.9163358211517334
183956,0,0,0,0,-0.8577904105186462,0.9233048558235168
183966,0,0,0,0,-0.8497150540351868,0.9260622262954712
183976,0,0,0,0,-0.8516725301742554,0.9355764985084534
183986,0,0,0,0,-0.8867176175117493,0.9251957535743713
183996,0,0,0,0,-0.877674400806427,0.9138026237487793
184006,0,0,0,0,-0.8762538433074951,0.9172676801681519
184016,0,0,0,0,-0.872255802154541,0.9220390915870667
184026,0,0,0,0,-0.8728601336479187,0.9313850402832031
184036,0,0,0,0,-0.8633575439453125,0.9440426826477051
184046,0,0,0,0,-0.8405360579490662,0.9487457275390625
184056,0,0,0,0,-0.835846483707428,0.9504759907722473
184066,0,0,0,0,-0.8567706942558289,0.9565333127975464
184076,0,0,0,0,-0.8430706262588501,0.9573675394058228
184086,0,0,0,0,-0.8534043431282043,0.9684761166572571
184096,0,0,0,0,-0.8496273159980774,0.9734479188919067
184106,0,0,0,0,-0.8324446082115173,0.9836183786392212
184116,0,0,0,0,-0.8176279664039612,0.9937112927436829
184126,0,0,0,0,-0.8017400503158569,0.9819995760917664
184136,0,0,0,0,-0.8036642670631409,0.9708489179611206
184146,0,0,0,0,-0.804842472076416,0.9650362730026245
184156,0,0,0,0,-0.7940870523452759,0.9742518663406372
184166,0,0,0,0,-0.8182487487792969,0.9786226749420166
184176,0,0,0,0,-0.8369760513305664,0.9655457735061646
184186,0,0,0,0,-0.8608413338661194,0.9415738582611084
184196,0,0,0,0,-0.861182451248169,0.9412280917167664
184206,0,0,0,0,-0.8470622301101685,0.948957622051239
184216,0,0,0,0,-0.8306686282157898,0.9471539258956909
184226,0,0,0,0,-0.8141663670539856,0.9420281052589417
184236,0,0,0,0,-0.8050852417945862,0.9387259483337402
184246,0,0,0,0,-0.7913111448287964,0.9378206133842468
184256,0,0,0,0,-0.7808870077133179,0.9436538815498352
184266,0,0,0,0,-0.7808387279510498,0.9485265612602234
184276,0,0,0,0,-0.7711214423179626,0.9530030488967896
184286,0,0,0,0,-0.7403169274330139,0.9858075380325317
184296,0,0,0,0,-0.7058107256889343,1.013087272644043
184306,0,0,0,0,-0.6598252654075623,1.0354431867599487
184316,0,0,0,0,-0.642512321472168,1.035300374031067
184326,0,0,0,0,-0.6287071704864502,1.043005108833313
184336,0,0,0,0,-0.6218221783638,1.061532974243164
